date,open,high,low,close,adj_close,volume
7/19/2004,62.78981781,87.5,88.12999725,86.66999817,87.5,3308600
7/20/2004,64.36852264,89.69999695,89.84999847,87.20999908,87.25,4131100
7/21/2004,62.73241425,87.41999817,90.69999695,87.40000153,89.69999695,4535400
7/22/2004,62.97639465,87.76000214,88.5,85.72000122,87.01999664,4883400
7/23/2004,63.00518417,87.55000305,88.19999695,86.80999756,86.80999756,3096600
7/26/2004,62.63098907,87.02999878,88.19000244,86.62999725,87.72000122,3805400
7/27/2004,63.89753342,88.79000092,88.98000336,87.01999664,87.02999878,4131900
7/28/2004,63.83996201,88.70999908,89.30000305,87.33000183,88.26999664,4273500
7/29/2004,64.54525757,89.69000244,90.05000305,89.08000183,89.65000153,3588700
7/30/2004,63.46577454,88.19000244,89.36000061,87.70999908,89.05000305,3706400
8/2/2004,63.64569855,88.44000244,88.63999939,87.33000183,87.77999878,3020400
8/3/2004,63.09873581,87.68000031,89.05999756,87.48000336,88.40000153,2726800
8/4/2004,63.0771637,87.65000153,88.44999695,86.75,87.34999847,3460200
8/5/2004,61.74582672,85.80000305,88.09999847,85.69000244,88.09999847,3203000
8/6/2004,60.84626389,84.55000305,86.15000153,84.19999695,85,5065600
8/9/2004,60.84626389,84.55000305,85.19999695,84.02999878,84.55000305,2916200
8/10/2004,61.39321518,85.30999756,85.52999878,84.26999664,84.69999695,5453300
8/11/2004,60.91823196,84.65000153,85.59999847,84.18000031,84.80000305,3995400
8/12/2004,60.34970474,83.86000061,85.19999695,83.40000153,84.65000153,4773500
8/13/2004,60.63036728,84.25,84.25,83.29000092,83.86000061,2533900
8/16/2004,61.76023102,85.81999969,86.29000092,84.25,84.25,2990100
8/17/2004,62.17038345,86.38999939,87.25,86.23999786,87.16000366,3122600
8/18/2004,62.92601013,87.44000244,87.5,86.05999756,86.30000305,2979700
8/19/2004,62.3215332,86.59999847,87.69000244,85.94999695,87.30999756,2669200
8/20/2004,63.19232178,87.80999756,88.06999969,86.37999725,86.59999847,2651200
8/23/2004,62.96921158,87.5,88.33999634,87.27999878,87.80999756,4164200
8/24/2004,62.99080276,87.52999878,88.37000275,87.45999908,88.15000153,2371300
8/25/2004,64.78992462,90.02999878,90.25,87.55999756,87.77999878,4104300
8/26/2004,65.57434082,91.12000275,91.56999969,89.76000214,89.93000031,3366000
8/27/2004,65.11379242,90.48000336,91.19999695,90.16999817,91.12000275,1642400
8/30/2004,64.15663147,89.15000153,90.34999847,89.01000214,90.23000336,1824400
8/31/2004,64.51643372,89.65000153,89.80999756,88.45999908,89.55999756,2403900
9/1/2004,64.1854248,89.19000244,90.5,88.94999695,89.84999847,1913900
9/2/2004,65.53114319,91.05999756,91.30000305,88.88999939,89.19999695,2361400
9/3/2004,64.91226196,90.19999695,91.72000122,90,91.05999756,1667700
9/7/2004,66.37314606,92.23000336,92.77999878,91.05999756,91.19999695,3903300
9/8/2004,65.80461121,91.44000244,92.55000305,91.36000061,92.29000092,2901400
9/9/2004,66.11408997,91.87000275,92.16000366,90.61000061,92.09999847,3081200
9/10/2004,67.02083588,93.12999725,93.23000336,91.69999695,91.87000275,2846100
9/13/2004,67.35903931,93.59999847,93.59999847,92.76999664,93.40000153,2957800
9/14/2004,67.7188797,94.09999847,94.25,92.90000153,93.27999878,2900100
9/15/2004,66.50270081,92.41000366,94.01000214,92.41000366,94,2768000
9/16/2004,67.04243469,93.16000366,93.62000275,92.40000153,92.65000153,2530000
9/17/2004,66.24362946,92.05000305,93.45999908,91.80999756,93.29000092,2890900
9/20/2004,65.97734833,91.68000031,92.12000275,90.97000122,91,3017600
9/21/2004,68.2946167,94.90000153,94.95999908,92.75,93,6120400
9/22/2004,67.20792389,93.38999939,94.18000031,92.5,93.08000183,6459600
9/23/2004,66.97763062,93.06999969,93.63999939,92.5,92.5,4313900
9/24/2004,67.27275085,93.48000336,93.76999664,92.83999634,93.66999817,2614100
9/27/2004,66.74736786,92.75,93.48999786,92.12000275,93.48000336,3414700
9/28/2004,66.97048187,93.05999756,93.23999786,91.76999664,92.75,2806600
9/29/2004,67.12876129,93.27999878,93.47000122,92.40000153,93.05999756,3005900
9/30/2004,67.0999527,93.23999786,93.56999969,92.44999695,93.34999847,2721700
10/1/2004,67.58938599,93.91999817,94.69000244,93.33999634,93.45999908,3184800
10/4/2004,68.272995,94.87000275,95.44999695,94.44000244,94.80000305,3640600
10/5/2004,67.69730377,94.06999969,95.09999847,93.79000092,94.94999695,3938300
10/6/2004,68.74797821,95.52999878,95.66000366,93.75,94.06999969,3445200
10/7/2004,68.25862122,94.84999847,95.41999817,94.36000061,95,2758300
10/8/2004,67.81967163,94.23999786,95.5,93.91000366,94.84999847,3029400
10/11/2004,67.74770355,94.13999939,94.91000366,94.04000092,94.80000305,1624700
10/12/2004,68.0715332,94.58999634,94.80000305,93.23999786,93.25,2613100
10/13/2004,68.16506958,94.72000122,95.25,94.19000244,95,2924600
10/14/2004,66.87689972,92.93000031,94.16000366,92.40000153,94,3915000
10/15/2004,67.7620697,94.16000366,94.31999969,93.08999634,93.69999695,3188100
10/18/2004,67.826828,94.25,94.44999695,93.08999634,94.16000366,2572100
10/19/2004,66.97048187,93.05999756,95,92.59999847,94.25,4144600
10/20/2004,66.45233917,92.33999634,92.69000244,90.73999786,92.11000061,3934700
10/21/2004,67.44813538,93.47000122,93.84999847,91.98000336,92,4023000
10/22/2004,66.8924942,92.69999695,93.73999786,92.01000214,93.01999664,3515900
10/25/2004,66.69043732,92.41999817,92.70999908,91.11000061,91.75,3019600
10/26/2004,67.65739441,93.76000214,94.77999878,92.80000305,92.80000305,3445400
10/27/2004,69.34593201,96.09999847,96.30000305,93,93.27999878,4620900
10/28/2004,70.30568695,97.43000031,98.13999939,95.80000305,96.09999847,5321900
10/29/2004,70.99118042,98.37999725,98.44999695,97.43000031,97.43000031,3862600
11/1/2004,70.94787598,98.31999969,98.91000366,97.80000305,98.19999695,2519900
11/2/2004,71.11384583,98.55000305,99.73000336,98.5,98.84999847,4270100
11/3/2004,71.70557404,99.37000275,100.5,98.68000031,100.0100021,4333900
